,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,mp1926,mp1939,mp1959,mp1970,spop1926,spop1939,spop1959,spop1970,smp1926,smp1939,smp1959,smp1970,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
46,152,Vizinga,Komi ASSR,Severno-Zapadny,0,0,1,7.0,61.08,50.1,3730.7664,2510.01,3060.1079999999997,0,0,NA,NA,15868.025109999999,35087.79533,55090.45496,71639.14711,0.0,0.0,NA,NA,93.54877103,109.5289642,119.1750321,124.9789162,0,0,0,0,1,0,0,0,0
47,155,Troitsko-Pechorsk,Komi ASSR,Severno-Zapadny,0,0,1,7.0,62.7,56.2,3931.29,3158.44,3523.74,0,0,NA,NA,12490.91719,27960.60152,44993.53948,58063.156370000004,0.0,0.0,NA,NA,88.97690527,104.82794109999999,114.79567140000002,120.32524850000001,0,0,0,0,1,0,0,0,0
48,158,Blagoevo,Komi ASSR,Severno-Zapadny,0,0,0,7.0,63.42,47.97,4022.0964,2301.1209,3042.2574,0,0,NA,NA,13858.979640000001,30441.451589999997,46619.82181,60352.54695,0.0,0.0,NA,NA,90.94843042,106.5759013,115.5577935,121.17514879999999,0,0,0,0,1,0,0,0,0
49,160,Usogorsk,Komi ASSR,Severno-Zapadny,0,0,0,7.0,63.44,48.67,4024.6336,2368.7689,3087.6248,0,0,NA,NA,13669.836269999998,30057.011430000002,46271.74358,59910.92423,0.0,0.0,NA,NA,90.68651866,106.3136533,115.39672490000001,121.01351149999999,0,0,0,0,1,0,0,0,0
50,161,Koslan,Komi ASSR,Severno-Zapadny,0,0,1,7.0,63.46,48.89,4027.1716,2390.2321,3102.5594,0,0,NA,NA,13597.7964,29909.24675,46116.96975,59712.738710000005,0.0,0.0,NA,NA,90.58590953,106.21204820000001,115.3247522,120.9406217,0,0,0,0,1,0,0,0,0
51,165,Parma,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.94,57.46,4348.0836,3301.6516,3788.9124,0,0,NA,NA,10190.48173,22629.02697,36404.063330000004,47081.5124,0.0,0.0,NA,NA,85.17830615,100.5405032,110.30115520000001,115.7697601,0,0,0,0,1,0,0,0,0
52,167,Mikun',Komi ASSR,Severno-Zapadny,0,1,0,1.0,62.36,50.06,3888.7696,2506.0036,3121.7416,0,0,11300,10400,14437.7209,31882.02092,49960.2927,64935.96181,0.0,0.0,87.09663891,85.55438027,91.73041348,107.53270069999999,117.05041100000001,122.79203740000001,0,0,0,0,1,0,0,0,0
53,168,Zheshart,Komi ASSR,Severno-Zapadny,0,0,0,1.0,62.06,49.55,3851.4436,2455.2025,3075.073,0,0,NA,NA,14942.3598,32921.3206,51597.15591,67049.646,0.0,0.0,NA,NA,92.38968658,108.1990195,117.7490152,123.50296110000001,0,0,0,0,1,0,0,0,0
54,169,Aikino,Komi ASSR,Severno-Zapadny,0,0,1,1.0,62.22,49.99,3871.3284,2499.0001,3110.3778,0,0,NA,NA,14617.861330000002,32290.838939999998,51283.4489,66477.20217,0.0,0.0,NA,NA,91.96808924,107.7971129,117.6167004,123.3124597,0,0,0,0,1,0,0,0,0
55,173,Ust'-Kulom,Komi ASSR,Severno-Zapadny,0,0,1,7.0,61.69,53.69,3805.6561,2882.6161,3312.1361,0,0,NA,NA,14033.564059999999,31355.80075,50140.94281,64808.38544,0.0,0.0,NA,NA,91.18735762,107.1878094,117.128523,122.74845719999999,0,0,0,0,1,0,0,0,0
