,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
53,168,Zheshart,Komi ASSR,Severno-Zapadny,0,0,0,1.0,62.06,49.55,3851.4436,2455.2025,3075.073,0,0,0,0,NA,12674,14942.3598,32921.3206,51597.15591,67049.646,79510.35005,104610.0611,0.0,0.0,0.0,0.0,NA,89.25162712,92.38968658,108.1990195,117.7490152,123.50296110000001,127.3205877,133.5872487,0,0,0,0,1,0,0,0,0
54,169,Aikino,Komi ASSR,Severno-Zapadny,0,0,1,1.0,62.22,49.99,3871.3284,2499.0001,3110.3778,0,0,0,0,NA,3895,14617.861330000002,32290.838939999998,51283.4489,66477.20217,78831.21516,103926.2019,0.0,0.0,0.0,0.0,NA,68.35071228,91.96808924,107.7971129,117.6167004,123.3124597,127.12707560000001,133.4356813,0,0,0,0,1,0,0,0,0
55,173,Ust'-Kulom,Komi ASSR,Severno-Zapadny,0,0,1,7.0,61.69,53.69,3805.6561,2882.6161,3312.1361,0,0,0,0,NA,5888,14033.564059999999,31355.80075,50140.94281,64808.38544,76747.58035,101202.7378,0.0,0.0,0.0,0.0,NA,75.35406048,91.18735762,107.1878094,117.128523,122.74845719999999,126.52373859999999,132.8228841,0,0,0,0,1,0,0,0,0
56,176,Ust'-Tsil'ma,Komi ASSR,Severno-Zapadny,0,0,1,1.0,65.44,52.16,4282.3936,2720.6656,3413.3504,3247,0,0,0,NA,5344,11327.93012,25033.71898,39052.58483,50529.01695,59944.681370000006,79163.62336,65.37509634,0.0,0.0,0.0,NA,73.68041582,87.14272249999999,102.5759577,111.7812314,117.295464,121.02590500000001,127.2219807,0,0,0,0,1,0,0,0,0
58,185,Koriazhma,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,7.0,61.32,47.14,3760.1424,2222.1796,2890.6248,0,0,11200,33200,42800,41795,17090.02114,37426.53575,57336.459520000004,74095.9899,87298.1228,114702.2844,0.0,0.0,86.93080469,108.3744534,113.72715330000001,113.22092109999998,94.98938931,110.88374830000001,120.04909939999999,125.73398600000002,129.4380458,135.7247186,0,0,0,0,1,0,0,0,0
60,189,Novodvinsk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,1.0,64.42,40.81,4149.9364,1665.4561,2628.9802,0,0,16300,34200,47800,50183,18003.92567,44887.33262,60504.11052,79377.90163,93142.2665,116917.7971,0.0,0.0,94.06905667,108.9932017,116.09590379999999,117.1466717,96.00756681,114.74503529999998,121.23037439999999,127.2829665,130.9166946,136.17084430000003,0,0,0,0,1,0,0,0,0
61,191,Onega,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,1.0,63.91,38.1,4084.4881,1451.61,2434.971,5254,15783,21306,25000,25000,26070,15355.76144,33798.851610000005,48729.64052,63020.23465,74570.47127000001,95942.51711,73.38911939,93.44487024,99.335986,102.54865749999999,102.54865749999999,103.39921600000001,92.91506385,108.746982,116.5113591,122.12926759999999,125.87717759999998,131.59541570000002,0,0,0,0,1,0,0,0,0
63,195,Vel'sk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,1,7.0,61.07,42.09,3729.5449,1771.5681,2570.4363,3486,6712,16938,21900,24600,25967,19117.55025,41186.606889999995,60250.91963,77554.49331,91427.25138,118586.4644,66.52865907,77.64521534,94.81530141,99.88487147,102.2222451,103.3187228,97.18730238,112.9090794,121.1380479,126.75913870000001,130.491757,136.50178019999998,0,0,0,0,1,0,0,0,0
64,196,Kuloi,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.03,42.5,3724.6609,1806.25,2593.775,0,0,0,0,NA,8934,19179.10944,41309.94912,60930.83255,78466.65995,92456.45422999999,119402.4307,0.0,0.0,0.0,0.0,NA,82.7666806,97.25069926,112.9726362,121.3851874,127.02257209999999,130.7476313,136.6620582,0,0,0,0,1,0,0,0,0
65,197,Solginskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.05,41.35,3727.1025,1709.8225,2524.4175,0,0,0,0,NA,2583,19554.90856,42068.544669999996,61376.71121,78936.30127000001,93001.23966,120032.3857,0.0,0.0,0.0,0.0,NA,61.72784163,97.6337976,113.35979259999999,121.5459007,127.1571179,130.8820223,136.7851148,0,0,0,0,1,0,0,0,0
66,200,Dvinskoi,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,62.16,45.12,3863.8656,2035.8144,2804.6592,0,0,0,0,NA,3263,16202.81435,35298.87365,53006.574689999994,68531.83982000001,80947.20836,105738.6663,0.0,0.0,0.0,0.0,NA,65.45460932,93.95309034,109.6545392,118.3346094,123.9894216,127.7250883,133.83541929999998,0,0,0,0,1,0,0,0,0
67,201,Verkhniaia Toima,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,62.25,45.02,3875.0625,2026.8004,2802.495,0,0,0,0,NA,4430,16102.082709999999,35088.048819999996,52641.9878,68054.4655,80388.81015,104892.6646,0.0,0.0,0.0,0.0,NA,70.49541648,93.83223251,109.52911540000001,118.18449679999999,123.83380009999999,127.56867290000001,133.6496195,0,0,0,0,1,0,0,0,0
68,204,Il'insko-Podomskoe,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,61.12,47.98,3735.6544,2302.0804,2932.5376,0,0,0,0,NA,3365,16736.63289,36663.7661,56598.099,73514.32051,86897.47567,113717.1387,0.0,0.0,0.0,0.0,NA,65.95361725,94.58253342,110.4505203,119.76524109999998,125.5573027,129.3333983,135.5238099,0,0,0,0,1,0,0,0,0
69,207,Bereznik,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,1.0,62.85,42.74,3950.1225,1826.7076,2686.2090000000003,0,0,0,0,NA,7006,15944.35751,34799.28076,51318.28009,66284.37815,78297.39744,101533.6735,0.0,0.0,0.0,0.0,NA,78.40256346,93.64162496,109.3562108,117.63142759999998,123.2479544,126.9739008,132.89814520000002,0,0,0,0,1,0,0,0,0
71,212,Konosha,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,60.98,40.24,3718.5604,1619.2576,2453.8352,0,0,0,0,NA,17143,20118.87839,43196.07791,62380.20477999999,80120.01782000001,94388.58492000001,121318.8612,0.0,0.0,0.0,0.0,NA,95.04973195,98.19648338,113.92370859999998,121.9037533,127.4930269,131.221044,137.0345934,0,0,0,0,1,0,0,0,0
72,213,Voloshka,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.33,40.1,3761.3689,1608.01,2459.333,0,0,0,0,NA,2448,19428.453380000003,41848.45977,60426.044420000006,77566.592,91326.0351,117695.6788,0.0,0.0,0.0,0.0,NA,60.887224800000006,97.50563056,113.2481259,121.201945,126.7626513,130.46645149999998,136.32565019999998,0,0,0,0,1,0,0,0,0
73,214,Ertsevo,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,60.8,40.09,3696.64,1607.2081,2437.472,0,0,0,0,NA,4683,20619.31242,44198.37959,63716.4645,81823.4961,96399.14622000001,124308.0892,0.0,0.0,0.0,0.0,NA,71.43113501,98.68402642,114.41390159999999,122.3722307,127.9685774,131.7043743,137.6050608,0,0,0,0,1,0,0,0,0
74,215,Podiuga,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.09,40.86,3731.9881,1669.5396,2496.1374,0,0,0,0,NA,3569,19635.40874,42237.06248,61333.82423,78832.6392,92875.02629,119921.719,0.0,0.0,0.0,0.0,NA,66.91306624,97.71500003,113.4449379,121.5304887,127.12748300000001,130.8509513,136.76353980000002,0,0,0,0,1,0,0,0,0
76,218,Privodino,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.07,46.49,3729.5449,2161.3201,2839.1443,0,0,0,0,NA,3154,17871.96023,39057.36419,59650.110889999996,77300.60191,91029.87978999999,118675.7358,0.0,0.0,0.0,0.0,NA,64.90601226,95.86345181,111.783819,120.91754240000002,126.6853128,130.3922611,136.5193646,0,0,0,0,1,0,0,0,0
77,219,Udimskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.14,46.92,3738.0996,2201.4864,2868.6888,0,0,0,0,NA,3473,17521.59022,38496.20269,59524.13012,77729.18763,91625.24373999999,119466.3403,0.0,0.0,0.0,0.0,NA,66.46772476,95.47613694,111.47801319999999,120.8710496,126.80980819999999,130.5411842,136.67456940000002,0,0,0,0,1,0,0,0,0
78,220,Kharitonovo,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.41,47.5,3771.1881,2256.25,2916.975,0,0,0,0,NA,2152,16585.04557,36322.869380000004,56185.31555,73477.86409,86894.76257,113352.5848,0.0,0.0,0.0,0.0,NA,58.89262306,94.40564424,110.2542595,119.6050793,125.5461866,129.3326881,135.44906,0,0,0,0,1,0,0,0,0
79,221,Cheremushskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.27,47.27,3754.0129,2234.4529,2896.2329,0,0,0,0,NA,1667,17001.99564,37242.63534,58316.771570000004,77453.99569,91724.09446000001,118761.1424,0.0,0.0,0.0,0.0,NA,55.03830979,94.88875659,110.78003490000002,120.4208848,126.7299426,130.565825,136.5361764,0,0,0,0,1,0,0,0,0
