,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,mp1926,mp1939,mp1959,spop1926,spop1939,spop1959,smp1926,smp1939,smp1959,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
63,195,Vel'sk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,1,7.0,61.07,42.09,3729.5449,1771.5681,2570.4363,3486,6712,16938,19117.55025,41186.606889999995,60250.91963,66.52865907,77.64521534,94.81530141,97.18730238,112.9090794,121.1380479,0,0,0,0,1,0,0,0,0
64,196,Kuloi,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.03,42.5,3724.6609,1806.25,2593.775,0,NA,NA,19179.10944,41309.94912,60930.83255,0.0,NA,NA,97.25069926,112.9726362,121.3851874,0,0,0,0,1,0,0,0,0
65,197,Solginskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.05,41.35,3727.1025,1709.8225,2524.4175,0,NA,NA,19554.90856,42068.544669999996,61376.71121,0.0,NA,NA,97.6337976,113.35979259999999,121.5459007,0,0,0,0,1,0,0,0,0
66,200,Dvinskoi,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,62.16,45.12,3863.8656,2035.8144,2804.6592,0,NA,NA,16202.81435,35298.87365,53006.574689999994,0.0,NA,NA,93.95309034,109.6545392,118.3346094,0,0,0,0,1,0,0,0,0
67,201,Verkhniaia Toima,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,62.25,45.02,3875.0625,2026.8004,2802.495,0,NA,NA,16102.082709999999,35088.048819999996,52641.9878,0.0,NA,NA,93.83223251,109.52911540000001,118.18449679999999,0,0,0,0,1,0,0,0,0
68,204,Il'insko-Podomskoe,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,61.12,47.98,3735.6544,2302.0804,2932.5376,0,NA,NA,16736.63289,36663.7661,56598.099,0.0,NA,NA,94.58253342,110.4505203,119.76524109999998,0,0,0,0,1,0,0,0,0
69,207,Bereznik,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,1.0,62.85,42.74,3950.1225,1826.7076,2686.2090000000003,0,NA,NA,15944.35751,34799.28076,51318.28009,0.0,NA,NA,93.64162496,109.3562108,117.63142759999998,0,0,0,0,1,0,0,0,0
70,210,Kargopol',Arkhangel'skaia oblast',Severno-Zapadny,0,1,1,27.0,61.5,38.93,3782.25,1515.5449,2394.195,3449,6300,8700,19332.42023,41537.19131,59463.35351,66.354703,76.53283884,82.28446161,97.40779553,113.0892825,120.84858829999999,0,0,0,0,1,0,0,0,0
71,212,Konosha,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,60.98,40.24,3718.5604,1619.2576,2453.8352,0,NA,NA,20118.87839,43196.07791,62380.20477999999,0.0,NA,NA,98.19648338,113.92370859999998,121.9037533,0,0,0,0,1,0,0,0,0
72,213,Voloshka,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.33,40.1,3761.3689,1608.01,2459.333,0,NA,NA,19428.453380000003,41848.45977,60426.044420000006,0.0,NA,NA,97.50563056,113.2481259,121.201945,0,0,0,0,1,0,0,0,0
