,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1897,pop1926,mp1897,mp1926,spop1897,spop1926,smp1897,smp1926,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
81,224,Krasnoborsk,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,61.56,45.94,3789.6336,2110.4836,2828.0664,671,989,9663.133253,16908.6389,42.36407568,47.5643927,84.20031988,94.78151692,0,0,0,0,1,0,0,0,0
83,228,Iarensk,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,62.17,49.11,3865.1089,2411.7921,3053.1687,993,949,8500.256526000001,14907.775319999999,47.62008370000001,46.996629799999994,81.86361897,92.34514614,0,0,0,0,1,0,0,0,0
85,234,Mezen',Arkhangel'skaia oblast',Severno-Zapadny,0,1,1,1.0,65.83,44.26,4333.5889,1958.9476,2913.6358,1847,2947,7033.783493000001,12240.521859999999,56.57022416,63.81681899,78.47266849,88.59529162,0,0,0,0,1,0,0,0,0
90,244,Pinega,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,64.7,44.4,4186.09,1971.36,2872.68,994,1371,7684.081573,13390.99843,47.63397647,52.17600047,80.04712947,90.29442749,0,0,0,0,1,0,0,0,0
106,268,Kholmogory,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,1.0,64.22,41.65,4124.2084,1734.7225,2674.763,1112,965,8520.560894,15091.949340000001,49.19501029,47.22614464,81.90679791,92.58128145,0,0,0,0,1,0,0,0,0
107,271,Shenkursk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,1,1.0,62.11,42.91,3857.6521,1841.2681,2665.1401,1492,2557,9789.919778,16936.3438,53.40500458,61.56897424,84.43971578,94.81339709999999,0,0,0,0,1,0,0,0,0
122,309,Griazovets,Vologodskaia oblast',Severno-Zapadny,0,1,1,7.0,58.88,40.25,3466.8544,1620.0625,2369.92,3205,4769,15932.61834,28100.08615,65.16472943,71.73906911,93.62737092,104.92986429999999,0,0,0,0,1,0,0,0,0
129,322,Nikol'sk,Vologodskaia oblast',Severno-Zapadny,0,1,1,7.0,59.53,45.46,3543.8209,2066.6116,2706.2338,2553,3084,11635.52925,20419.46559,61.54440811,64.54487858,87.6436468,98.4906174,0,0,0,0,1,0,0,0,0
131,327,Kadnikov,Vologodskaia oblast',Severno-Zapadny,0,1,0,7.0,59.51,40.35,3541.4401,1628.1225,2401.2285,2406,2304,14458.168959999999,25679.41318,60.61744988,59.94478907,91.75752569,103.0924435,0,0,0,0,1,0,0,0,0
152,383,Kola,Murmanskaia oblast',Severno-Zapadny,0,1,1,1.0,68.87,33.08,4743.0769,1094.2864,2278.2196,615,614,5746.3538960000005,10769.53717,41.23723255,41.21633488,74.93189027,86.20150937,0,0,0,0,1,0,0,0,0
