,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,mp2002,mp2010,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,spop2002,spop2010,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,smp2002,smp2010,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
57,180,Arkhangel'sk,Arkhangel'skaia oblast',Severno-Zapadny,1,1,0,1.0,64.53,40.56,4164.1209,1645.1136,2617.3368,71091,251000,256309,342600,385000,415921,356051,355714,13741.766480000002,30198.400939999996,46827.66819,62180.951839999994,74642.75877,96653.02004,93085.55178,85928.54061,124.807239,154.5846666,155.1055789,162.41766330000002,165.4052853,167.398329,163.4007238,163.3765155,90.78650228,106.4104532,115.6534523,121.83311699999999,125.89891999999999,131.76474879999998,130.9027567,129.07848570000002,0,0,0,0,1,0,0,0,0
58,185,Koriazhma,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,7.0,61.32,47.14,3760.1424,2222.1796,2890.6248,0,0,11200,33200,42800,41795,42811,39629,17090.02114,37426.53575,57336.459520000004,74095.9899,87298.1228,114702.2844,112082.7307,103069.2678,0.0,0.0,86.93080469,108.3744534,113.72715330000001,113.22092109999998,113.73263429999999,112.0912697,94.98938931,110.88374830000001,120.04909939999999,125.73398600000002,129.4380458,135.7247186,135.18695559999998,133.244463,0,0,0,0,1,0,0,0,0
59,187,Kotlas,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,7.0,61.26,46.7,3752.7876,2180.89,2860.842,4280,17265,39162,55700,61400,82512,74082,73516,17215.18737,37314.59811,56851.703239999995,73954.76182999999,87408.53901000001,114298.8728,112069.2272,102887.836,69.9181655,95.18805532,111.8404001,119.41540149999999,121.55426580000001,128.1582262,125.7297513,125.55781470000001,95.13168415,110.82067450000001,119.8631152,125.6912041,129.4668091,135.6426391,135.1841539,133.2037917,0,0,0,0,1,0,0,0,0
60,189,Novodvinsk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,1.0,64.42,40.81,4149.9364,1665.4561,2628.9802,0,0,16300,34200,47800,50183,43383,40612,18003.92567,44887.33262,60504.11052,79377.90163,93142.2665,116917.7971,110625.6842,103292.3039,0.0,0.0,94.06905667,108.9932017,116.09590379999999,117.1466717,114.0159027,112.6106997,96.00756681,114.74503529999998,121.23037439999999,127.2829665,130.9166946,136.17084430000003,134.882849,133.2943712,0,0,0,0,1,0,0,0,0
61,191,Onega,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,1.0,63.91,38.1,4084.4881,1451.61,2434.971,5254,15783,21306,25000,25000,26070,23430,21359,15355.76144,33798.851610000005,48729.64052,63020.23465,74570.47127000001,95942.51711,93254.21326,86524.47302,73.38911939,93.44487024,99.335986,102.54865749999999,102.54865749999999,103.39921600000001,101.2392665,99.38551640000001,92.91506385,108.746982,116.5113591,122.12926759999999,125.87717759999998,131.59541570000002,130.9441833,129.2355751,0,0,0,0,1,0,0,0,0
62,193,Severodvinsk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,1.0,64.57,39.85,4169.2849,1588.0225,2573.1145,0,21304,78657,144700,197200,248670,201551,193519,15853.94175,36995.60409,51376.247989999996,66604.69602999999,78232.53498,99196.07642,95523.27167,88951.61088,0.0,99.33411476,127.07719009999998,141.1918555,148.64422319999997,154.35284380000002,149.17685500000002,148.1851178,93.53159569,110.6399862,117.6559174,123.3550168,126.9552242,132.3616596,131.49495990000003,129.86534709999998,0,0,0,0,1,0,0,0,0
63,195,Vel'sk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,1,7.0,61.07,42.09,3729.5449,1771.5681,2570.4363,3486,6712,16938,21900,24600,25967,26241,23885,19117.55025,41186.606889999995,60250.91963,77554.49331,91427.25138,118586.4644,116573.8106,107214.391,66.52865907,77.64521534,94.81530141,99.88487147,102.2222451,103.3187228,103.5322195,101.6266805,97.18730238,112.9090794,121.1380479,126.75913870000001,130.491757,136.50178019999998,136.1020871,134.1562929,0,0,0,0,1,0,0,0,0
64,196,Kuloi,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.03,42.5,3724.6609,1806.25,2593.775,0,0,0,0,0,8934,6817,5945,19179.10944,41309.94912,60930.83255,78466.65995,92456.45422999999,119402.4307,117506.9037,107960.9328,0.0,0.0,0.0,0.0,0.0,82.7666806,77.91901444,75.52141506,97.25069926,112.9726362,121.3851874,127.02257209999999,130.7476313,136.6620582,136.28816830000002,134.3170829,0,0,0,0,1,0,0,0,0
69,207,Bereznik,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,1.0,62.85,42.74,3950.1225,1826.7076,2686.2090000000003,0,0,0,0,0,7006,6464,6017,15944.35751,34799.28076,51318.28009,66284.37815,78297.39744,101533.6735,99281.35816,91659.42288,0.0,0.0,0.0,0.0,0.0,78.40256346,76.98313918,75.73079240000001,93.64162496,109.3562108,117.63142759999998,123.2479544,126.9739008,132.89814520000002,132.38143390000002,130.54970690000002,0,0,0,0,1,0,0,0,0
70,210,Kargopol',Arkhangel'skaia oblast',Severno-Zapadny,0,1,1,27.0,61.5,38.93,3782.25,1515.5449,2394.195,3449,6300,8700,11400,10700,12495,11192,10148,19332.42023,41537.19131,59463.35351,76276.31321000001,89933.12097999999,115428.9943,113403.9779,104968.8757,66.354703,76.53283884,82.28446161,87.26116796,86.08126582,88.98307079,86.91748091,85.10121394,97.40779553,113.0892825,120.84858829999999,126.38521100000001,130.1155784,135.871914,135.45961119999998,133.6664131,0,0,0,0,1,0,0,0,0
