,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,mp2002,mp2010,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,spop2002,spop2010,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,smp2002,smp2010,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
80,222,Shipitsyno,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.28,46.53,3755.2384,2165.0409,2851.3584,0,0,0,0,0,4795,3930,3452,17665.40277,39155.10344,60850.30266,79473.69377,93424.94962999999,121957.3275,118962.7394,109859.3295,0.0,0.0,0.0,0.0,0.0,71.83120144,68.49870931,66.36886838,95.63594773,111.836675,121.35604709999998,127.3101814,130.9860499,137.1575104,136.5758157,134.72142769999996,0,0,0,0,1,0,0,0,0
81,224,Krasnoborsk,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,61.56,45.94,3789.6336,2110.4836,2828.0664,989,0,0,0,0,5110,5030,NA,16908.6389,36899.82746,55930.30902000001,72446.14231,85502.51736,111433.0691,109232.4955,100611.87,47.5643927,0.0,0.0,0.0,0.0,72.91374708,72.64451657,NA,94.78151692,110.58546000000001,119.50560049999999,125.2294993,128.9655746,135.05181090000002,134.5886274,132.687949,0,0,0,0,1,0,0,0,0
82,227,Urdoma,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.76,48.55,3814.2976,2357.1025,2998.448,0,0,0,0,0,4998,4637,4576,15610.76834,34281.82933,53092.709,68944.55706,81618.46779,107105.88,104943.3895,96722.78801,0.0,0.0,0.0,0.0,0.0,72.5357649,71.26437361,71.0409698,93.23285597,109.04310659999999,118.3699369,124.123172,127.9118212,134.1328368,133.6607983,131.78131509999997,0,0,0,0,1,0,0,0,0
83,228,Iarensk,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,62.17,49.11,3865.1089,2411.7921,3053.1687,949,0,0,0,0,4246,4085,NA,14907.775319999999,32848.83919,51163.902689999995,66395.33034,78661.8638,103699.7753,101471.5221,93652.95607999999,46.996629799999994,0.0,0.0,0.0,0.0,69.78484906,69.14050564,NA,92.34514614,108.1531712,117.56608490000002,123.28509199999999,127.0785842,133.3852963,132.88402779999998,131.0418512,0,0,0,0,1,0,0,0,0
84,231,Leshukonskoe,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,1.0,64.9,45.77,4212.01,2094.8929,2970.473,0,0,0,0,0,6199,5003,NA,12907.76903,28407.65546,42786.83358,55379.411739999996,65550.35815,85620.26153999999,83479.40615,77081.17339,0.0,0.0,0.0,0.0,0.0,76.25032605,72.55279779,NA,89.59729295,105.1530054,113.7205912,119.28927959999999,123.00083059999999,128.9968322,128.42227549999998,126.62132959999998,0,0,0,0,1,0,0,0,0
85,234,Mezen',Arkhangel'skaia oblast',Severno-Zapadny,0,1,1,1.0,65.83,44.26,4333.5889,1958.9476,2913.6358,2947,3900,4100,4200,4800,4968,3863,3599,12240.521859999999,27069.75558,40531.96871,52484.05512,62135.48139,81539.10244,79203.54031,73128.72602,63.81681899,68.37192611,69.20147267,69.602976,71.84886867,72.43325065,68.21437411,67.05007975,88.59529162,104.1659541,112.5688384,118.1191774,121.8169686,127.8898162,127.23335290000001,125.4394744,0,0,0,0,1,0,0,0,0
86,235,Kamenka,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,65.89,44.11,4341.4921,1945.6921,2906.4079,0,0,0,0,0,5083,3387,2582,12512.30635,27404.01589,40829.96366,52754.31276,62437.84935,81249.79592,78973.07841,72984.48726000001,0.0,0.0,0.0,0.0,0.0,72.82330038,66.0595049,61.72175721,89.00918545,104.4166151,112.7243305,118.23084509999998,121.92415030000001,127.80943700000002,127.16762320000001,125.39525309999999,0,0,0,0,1,0,0,0,0
89,241,Maloshuika,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,63.71,43.76,4058.9641,1914.9376,2787.9496,0,0,0,0,0,3972,3164,2886,14625.99869,32167.889389999997,47763.85787,61822.57818,73100.36038,95068.05486,92740.74579,85577.19511,0.0,0.0,0.0,0.0,0.0,68.67478377,64.95702851,63.48307586,91.97876355,107.7179121,116.0796044,121.7055518,125.43078429999998,131.38542809999998,130.81785190000002,128.98540390000002,0,0,0,0,1,0,0,0,0
90,244,Pinega,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,64.7,44.4,4186.09,1971.36,2872.68,1371,0,0,0,0,4401,3763,NA,13390.99843,29599.19992,44169.33089,57207.120429999995,67692.03935,88179.42562000001,85875.35308,79298.85885,52.17600047,0.0,0.0,0.0,0.0,70.38517115,67.7818245,NA,90.29442749,105.997374,114.3998372,119.9996166,123.7149862,129.6667056,129.0644171,127.26048759999999,0,0,0,0,1,0,0,0,0
91,245,Karpogory,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,1.0,64.0,44.45,4096.0,1975.8025,2844.8,0,0,0,0,0,5335,4617,NA,14125.917980000002,31076.31227,46372.15421,60029.28642999999,71002.59478,92476.53079,90197.52674,83289.28846,0.0,0.0,0.0,0.0,0.0,73.65148203,71.19141338,NA,91.31267423,107.0024973,115.4433011,121.05693889999999,124.77943799999998,130.7525967,130.1825613,128.3706047,0,0,0,0,1,0,0,0,0
92,248,Plesetsk,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,1.0,62.71,40.3,3932.5441,1624.09,2527.2129999999997,1513,0,0,0,0,14027,11300,11030,16760.45266,36466.2259,52913.72268,68194.3459,80500.77924,104528.5878,102028.2327,94339.08937999999,53.60948323,0.0,0.0,0.0,0.0,91.17842265,87.09663891,86.64582861,94.61019824,110.33699479999999,118.2964683,123.879503,127.6001163,133.5692389,133.01020079999998,131.2090273,0,0,0,0,1,0,0,0,0
94,250,Obozerskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,63.46,40.32,4027.1716,1625.7024,2558.7072,517,0,0,0,0,5837,3725,3619,15828.12924,34916.96646,50679.0228,65598.17745,77531.3831,100145.9803,97383.15466,90175.53022999999,39.03803976,0.0,0.0,0.0,0.0,75.20310262,67.61480379,67.14086615,93.50008054,109.4268331,117.3596815,123.0170065,126.75242790000001,132.5810436,131.9375808,130.1769957,0,0,0,0,1,0,0,0,0
96,252,Puksoozero,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,62.58,40.61,3916.2564,1649.1721,2541.3738,0,0,0,0,0,4255,2169,1210,16952.540080000002,36706.23778,53355.47449,68751.51631,81143.86225,105797.8046,103319.8241,95546.20011,0.0,0.0,0.0,0.0,0.0,69.82022991,59.01345449,50.38693671,94.83201257,110.47485619999999,118.4773878,124.0607037,127.77993980000001,133.8483565,133.3005225,131.5004642,0,0,0,0,1,0,0,0,0
97,253,Savinskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,62.39,40.15,3892.5121,1612.0225,2504.9585,0,0,0,0,0,11544,7887,7660,17348.04155,37543.73059,54384.595120000005,69995.30853,82574.50517,107191.4323,104835.2437,96858.66961,0.0,0.0,0.0,0.0,0.0,87.49583995,80.51421059999998,79.99097285,95.28170677,110.9496017,118.8936442,124.46043020000002,128.1753718,134.1513319,133.6369591,131.81354879999998,0,0,0,0,1,0,0,0,0
99,255,Severoonezhsk,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,1.0,62.57,39.86,3915.0049,1588.8196,2494.0402,0,0,0,0,0,6223,5624,5291,17130.28014,37077.1282,53631.61344,69049.60955,81487.21733,106471.1225,103830.6698,96067.19235,0.0,0.0,0.0,0.0,0.0,76.31782502,74.55974399,73.50940414,95.03525938,110.6862977,118.5897908,124.1571003,127.8754199,133.9951885,133.4144355,131.625212,0,0,0,0,1,0,0,0,0
