,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1926,pop1939,pop1959,pop1970,pop1979,pop1989,pop2002,mp1926,mp1939,mp1959,mp1970,mp1979,mp1989,mp2002,spop1926,spop1939,spop1959,spop1970,spop1979,spop1989,spop2002,smp1926,smp1939,smp1959,smp1970,smp1979,smp1989,smp2002,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
163,397,Pechenga,Murmanskaia oblast',Severno-Zapadny,0,0,0,1.0,69.61,31.37,4845.5521,984.0769,2183.6657,0,0,0,0,0,2671,2959,9301.182565000001,21395.8657,32504.34247,42702.76013,50512.68183,66394.28509,63078.04767000001,0.0,0.0,0.0,0.0,0.0,62.25538565,63.881761100000006,83.50115845,99.41990354,107.93400079999999,113.67864569999999,117.2884605,123.28474240000001,122.14953529999998,0,0,0,0,1,0,0,0,0
164,398,Prirechnyi,Murmanskaia oblast',Severno-Zapadny,0,0,0,1.0,69.02,30.31,4763.7604,918.6961,2091.9962,0,0,0,0,0,676,109,9582.464679,21908.880869999997,32971.07727,43004.573130000004,50933.76985,67053.37232000001,63884.69082,0.0,0.0,0.0,0.0,0.0,42.4607722,22.00874495,84.04654198,99.89297571,108.2304405,113.8288784,117.4683445,123.5041963,122.4305743,0,0,0,0,1,0,0,0,0
187,471,Kikerino,Leningradskaia oblast',Severno-Zapadny,0,0,0,26.0,59.47,29.61,3536.6809,876.7521,1760.9067,0,0,0,0,0,1951,2005,42619.62524,88574.40276,103054.9208,124067.8901,146243.814,182117.0794,176120.6682,0.0,0.0,0.0,0.0,0.0,57.39725091,57.81168152,113.63709479999999,129.76850929999998,133.2412492,137.55968719999998,141.4441737,146.71035619999998,145.9004208,0,0,0,0,1,0,0,0,1
192,485,Vysotsk,Leningradskaia oblast',Severno-Zapadny,0,1,0,37.0,60.62,28.56,3674.7844,815.6736,1731.3072,0,0,1300,1300,900,929,1673,31229.90898,62547.86885,74922.41005,92189.09711,108665.1553,135638.8834,131862.8813,0.0,0.0,51.41061427,51.41061427,46.27257452,46.70504225,55.09163136,107.10452350000001,121.9630324,125.98285249999999,130.6814134,134.46782969999998,139.65924730000003,138.99273190000002,0,0,0,0,1,0,0,0,1
196,489,Lesogorskii,Leningradskaia oblast',Severno-Zapadny,0,0,0,37.0,61.04,28.93,3725.8816,836.9449,1765.8872,0,0,0,0,0,3744,3004,26482.5819,54545.54419,69010.09743,84987.41337000001,100304.9835,125554.6888,122276.1125,0.0,0.0,0.0,0.0,0.0,67.6985003,64.1232595,103.7187955,118.9580966,124.14434479999998,128.8283668,132.61758020000002,137.839263,137.2186625,0,0,0,0,1,0,0,0,1
200,494,Druzhnaia Gorka,Leningradskaia oblast',Severno-Zapadny,0,0,0,37.0,59.27,30.14,3512.9329,908.4196,1786.3978,1120,0,0,0,0,4208,3696,40051.33564,82930.5323,98187.67394,119178.0162,140444.7637,175683.8178,170241.1863,49.29562003,0.0,0.0,0.0,0.0,69.63473164,67.48633069,112.31585109999999,128.27280729999998,132.126656,136.6180771,140.4834049,145.8404313,145.0813373,0,0,0,0,1,0,0,0,1
207,510,Siniavino,Leningradskaia oblast',Severno-Zapadny,0,0,0,37.0,59.91,31.09,3589.2081,966.5881,1862.6019,0,0,0,0,0,1949,3611,57237.893370000005,117909.27900000001,134137.9043,158672.3845,186462.0377,230202.5029,220878.6353,0.0,0.0,0.0,0.0,0.0,57.38171125,67.10460458,120.011399,136.367995,139.39636289999999,143.39097040000001,147.2820821,152.4413626,151.4220981,0,0,0,0,1,0,0,0,1
208,512,Svir'stroi,Leningradskaia oblast',Severno-Zapadny,0,0,0,27.0,60.8,33.72,3696.64,1137.0384,2050.176,0,0,0,0,0,1156,1044,24948.39992,53178.904089999996,70444.40772999999,88617.58498,104509.8199,131718.2068,128606.1561,0.0,0.0,0.0,0.0,0.0,49.7408742,48.31382595,102.5068158,118.4052372,124.6031729,129.7796142,133.5650884,138.966849,138.4036946,0,0,0,0,1,0,0,0,1
209,514,Bol'shaia Izhora,Leningradskaia oblast',Severno-Zapadny,0,0,0,37.0,59.93,29.56,3591.6049,873.7936,1771.5308,0,0,0,0,0,3967,3831,57545.07585,120605.1666,132113.5594,155870.271,183457.8824,227939.8503,218347.0918,0.0,0.0,0.0,0.0,0.0,68.6539086,68.07703966,120.1286988,136.8964913,139.0375179,142.96457230000001,146.8881073,152.1975486,151.1385324,0,0,0,0,1,0,0,0,1
211,517,Tolmachevo,Leningradskaia oblast',Severno-Zapadny,0,0,0,37.0,58.85,29.92,3463.3225,895.2064,1760.7920000000001,905,0,0,0,0,3948,3378,31931.88085,66022.70893,81762.09695,101490.4958,119960.0447,150204.8473,146623.1695,46.3479782,0.0,0.0,0.0,0.0,68.5743714,66.01626033,107.5651122,123.16014469999999,127.95159440000002,132.8883384,136.7710136,142.08056619999996,141.5058014,0,0,0,0,1,0,0,0,1
212,520,Vazhiny,Leningradskaia oblast',Severno-Zapadny,0,0,0,27.0,60.97,34.02,3717.3409,1157.3604,2074.1994,0,0,0,0,0,3956,2941,23551.80398,51041.42117,68584.79201,86634.34554,102100.1968,128840.4586,125959.1807,0.0,0.0,0.0,0.0,0.0,68.60790168,63.78426113,101.3436373,117.5141152,124.00662290000001,129.26443,133.0264648,138.44652549999998,137.914799,0,0,0,0,1,0,0,0,1
213,521,Voznesen'e,Leningradskaia oblast',Severno-Zapadny,0,0,0,27.0,61.02,35.49,3723.4404,1259.5401,2165.5998,2854,0,0,0,0,3123,2817,21991.41716,46870.35671,64699.52254,82348.87183999999,97128.4107,123122.0898,120906.7887,63.30552304,0.0,0.0,0.0,0.0,64.74695656,63.0980447,99.96815308,115.67305149999999,122.71120790000002,128.1134233,131.87741450000001,137.3802409,136.9549471,0,0,0,0,1,0,0,0,1
214,522,Nikol'skii,Leningradskaia oblast',Severno-Zapadny,0,0,0,27.0,60.92,34.06,3711.2464,1160.0836,2074.9352,0,0,0,0,0,2953,2931,23677.05549,52224.494269999996,70124.18794,88510.06705,104204.6395,131181.3978,127924.8518,0.0,0.0,0.0,0.0,0.0,63.8493189,63.729868700000004,101.4504565,118.01143689999999,124.5014787,129.75195530000002,133.4975025,138.8705835,138.27874409999998,0,0,0,0,1,0,0,0,1
