,ID89,name89,region,okrug,oblast_center,CityStatus,RaionCenter,Gubernia,Latitude,Longitude,lat2,long2,latlong,pop1897,pop1926,pop1939,mp1897,mp1926,mp1939,spop1897,spop1926,spop1939,smp1897,smp1926,smp1939,URAL,YUZHNY,DALNEV,PRIVOL,SEVER_ZAPAD,SIBIRSKII,TSENTRALNY,HBR,LBR
49,160,Usogorsk,Komi ASSR,Severno-Zapadny,0,0,0,7.0,63.44,48.67,4024.6336,2368.7689,3087.6248,0,NA,NA,7809.790298999999,13669.836269999998,30057.011430000002,0.0,NA,NA,80.3377602,90.68651866,106.3136533,0,0,0,0,1,0,0,0,0
50,161,Koslan,Komi ASSR,Severno-Zapadny,0,0,1,7.0,63.46,48.89,4027.1716,2390.2321,3102.5594,0,NA,NA,7765.275207,13597.7964,29909.24675,0.0,NA,NA,80.23532248,90.58590953,106.21204820000001,0,0,0,0,1,0,0,0,0
51,165,Parma,Komi ASSR,Severno-Zapadny,0,0,0,1.0,65.94,57.46,4348.0836,3301.6516,3788.9124,0,NA,NA,5736.7780649999995,10190.48173,22629.02697,0.0,NA,NA,74.90301888,85.17830615,100.5405032,0,0,0,0,1,0,0,0,0
52,167,Mikun',Komi ASSR,Severno-Zapadny,0,1,0,1.0,62.36,50.06,3888.7696,2506.0036,3121.7416,0,NA,NA,8231.436954,14437.7209,31882.02092,0.0,NA,NA,81.28313279,91.73041348,107.53270069999999,0,0,0,0,1,0,0,0,0
53,168,Zheshart,Komi ASSR,Severno-Zapadny,0,0,0,1.0,62.06,49.55,3851.4436,2455.2025,3075.073,0,NA,NA,8533.443551,14942.3598,32921.3206,0.0,NA,NA,81.93414652,92.38968658,108.1990195,0,0,0,0,1,0,0,0,0
54,169,Aikino,Komi ASSR,Severno-Zapadny,0,0,1,1.0,62.22,49.99,3871.3284,2499.0001,3110.3778,0,NA,NA,8337.528773,14617.861330000002,32290.838939999998,0.0,NA,NA,81.51421205,91.96808924,107.7971129,0,0,0,0,1,0,0,0,0
55,173,Ust'-Kulom,Komi ASSR,Severno-Zapadny,0,0,1,7.0,61.69,53.69,3805.6561,2882.6161,3312.1361,0,NA,NA,7909.895761,14033.564059999999,31355.80075,0.0,NA,NA,80.56624015,91.18735762,107.1878094,0,0,0,0,1,0,0,0,0
58,185,Koriazhma,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,7.0,61.32,47.14,3760.1424,2222.1796,2890.6248,0,NA,NA,9720.890418,17090.02114,37426.53575,0.0,NA,NA,84.30972083,94.98938931,110.88374830000001,0,0,0,0,1,0,0,0,0
59,187,Kotlas,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,7.0,61.26,46.7,3752.7876,2180.89,2860.842,0,4280,17265,9888.75598,17215.18737,37314.59811,0.0,69.9181655,95.18805532,84.62442753,95.13168415,110.82067450000001,0,0,0,0,1,0,0,0,0
60,189,Novodvinsk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,1.0,64.42,40.81,4149.9364,1665.4561,2628.9802,0,NA,NA,9377.351273999999,18003.92567,44887.33262,0.0,NA,NA,83.65027856,96.00756681,114.74503529999998,0,0,0,0,1,0,0,0,0
61,191,Onega,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,1.0,63.91,38.1,4084.4881,1451.61,2434.971,2541,5254,15783,8981.53498,15355.76144,33798.851610000005,61.47050768,73.38911939,93.44487024,82.86326322,92.91506385,108.746982,0,0,0,0,1,0,0,0,0
62,193,Severodvinsk,Arkhangel'skaia oblast',Severno-Zapadny,0,1,0,1.0,64.57,39.85,4169.2849,1588.0225,2573.1145,0,NA,21304,8740.977218,15853.94175,36995.60409,0.0,NA,99.33411476,82.36973309999999,93.53159569,110.6399862,0,0,0,0,1,0,0,0,0
64,196,Kuloi,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.03,42.5,3724.6609,1806.25,2593.775,0,NA,NA,11072.930479999999,19179.10944,41309.94912,0.0,NA,NA,86.71816234,97.25069926,112.9726362,0,0,0,0,1,0,0,0,0
65,197,Solginskii,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,61.05,41.35,3727.1025,1709.8225,2524.4175,0,NA,NA,11335.131870000001,19554.90856,42068.544669999996,0.0,NA,NA,87.15458864,97.6337976,113.35979259999999,0,0,0,0,1,0,0,0,0
66,200,Dvinskoi,Arkhangel'skaia oblast',Severno-Zapadny,0,0,0,7.0,62.16,45.12,3863.8656,2035.8144,2804.6592,0,NA,NA,9310.956929,16202.81435,35298.87365,0.0,NA,NA,83.52035501,93.95309034,109.6545392,0,0,0,0,1,0,0,0,0
67,201,Verkhniaia Toima,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,62.25,45.02,3875.0625,2026.8004,2802.495,0,NA,NA,9256.836856999998,16102.082709999999,35088.048819999996,0.0,NA,NA,83.4138385,93.83223251,109.52911540000001,0,0,0,0,1,0,0,0,0
68,204,Il'insko-Podomskoe,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,7.0,61.12,47.98,3735.6544,2302.0804,2932.5376,0,NA,NA,9526.9439,16736.63289,36663.7661,0.0,NA,NA,83.94003163,94.58253342,110.4505203,0,0,0,0,1,0,0,0,0
69,207,Bereznik,Arkhangel'skaia oblast',Severno-Zapadny,0,0,1,1.0,62.85,42.74,3950.1225,1826.7076,2686.2090000000003,0,NA,NA,9211.761213,15944.35751,34799.28076,0.0,NA,NA,83.32469867,93.64162496,109.3562108,0,0,0,0,1,0,0,0,0
